medicine,toxicity_level,disposal,compost_safe,warnings
Ibuprofen 100mg,Low,Safe landfill,No,Toxic if released into groundwater.
Ibuprofen Cap,Low,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Ibuprofen SR,Medium,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen 250mg,Low,Return to pharmacy,No,Harmful to aquatic life.
Ibuprofen Cap,Low,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen Tablet,High,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Ibuprofen XL,Medium,Safe landfill,Yes,Can enter waterways through improper disposal.
Ibuprofen Cap,Low,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Ibuprofen Tab,Low,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen Oral,High,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen Cap,Medium,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Ibuprofen Capsule,High,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen Tab,Medium,Do not flush. Incinerate,No,Harmful to aquatic life.
Ibuprofen Tab,Low,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Ibuprofen Capsule,Medium,Safe landfill,Yes,Can enter waterways through improper disposal.
Ibuprofen SR,Medium,Safe landfill,No,Harmful to aquatic life.
Ibuprofen XL,Medium,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Ibuprofen Tablet,High,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Ibuprofen Tablet,Medium,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Ibuprofen Tab,Medium,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Ibuprofen Capsule,Medium,Return to pharmacy,Yes,Harmful to aquatic life.
Ibuprofen Capsule,High,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Ibuprofen 500mg,High,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Ibuprofen Tablet,Medium,Return to pharmacy,Yes,Harmful to aquatic life.
Ibuprofen SR,High,Eco-bin drop-off,No,Harmful to aquatic life.
Ibuprofen 100mg,Low,Safe landfill,No,Toxic if released into groundwater.
Ibuprofen Oral,Medium,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Ibuprofen 250mg,Medium,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Ibuprofen 100mg,Low,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Ibuprofen 100mg,Medium,Eco-bin drop-off,Yes,Harmful to aquatic life.
Ibuprofen 500mg,Medium,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Ibuprofen Oral,Medium,Return to pharmacy,No,Harmful to aquatic life.
Ibuprofen SR,Medium,Safe landfill,No,Harmful to aquatic life.
Ibuprofen Tablet,Low,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Ibuprofen 250mg,Medium,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Ibuprofen Oral,High,Safe landfill,No,Should be incinerated to avoid soil contamination.
Ibuprofen 100mg,Low,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Ibuprofen Tablet,Medium,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Ibuprofen XL,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Ibuprofen 100mg,Medium,Safe landfill,No,Toxic if released into groundwater.
Amoxicillin 250mg,Low,Hazardous waste treatment,No,Toxic if released into groundwater.
Amoxicillin Cap,High,Return to pharmacy,Yes,Harmful to aquatic life.
Amoxicillin Cap,Low,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Amoxicillin Cap,Medium,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Amoxicillin Oral,High,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Amoxicillin Tablet,High,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Amoxicillin 500mg,Low,Do not flush. Incinerate,No,Toxic if released into groundwater.
Amoxicillin 100mg,Medium,Hazardous waste treatment,Yes,Harmful to aquatic life.
Amoxicillin 250mg,Medium,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin Tab,Low,Return to pharmacy,No,Disrupts soil microbes if composted.
Amoxicillin Oral,Medium,Return to pharmacy,Yes,Harmful to aquatic life.
Amoxicillin Tablet,Low,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin 100mg,High,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin Oral,High,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Amoxicillin Cap,Medium,Eco-bin drop-off,No,Harmful to aquatic life.
Amoxicillin 100mg,Low,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin Tab,Medium,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Amoxicillin Capsule,Medium,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin Cap,Low,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Amoxicillin 100mg,Low,Safe landfill,No,Toxic if released into groundwater.
Amoxicillin XL,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Amoxicillin SR,Low,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Amoxicillin Cap,Low,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Amoxicillin Capsule,Low,Eco-bin drop-off,Yes,Harmful to aquatic life.
Amoxicillin 100mg,Medium,Eco-bin drop-off,Yes,Harmful to aquatic life.
Amoxicillin Tablet,Medium,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Amoxicillin Tablet,Medium,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin Cap,Medium,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Amoxicillin XL,Low,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Amoxicillin Oral,Medium,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin Tab,Low,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Amoxicillin Tab,Medium,Return to pharmacy,Yes,Harmful to aquatic life.
Amoxicillin Capsule,Low,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Amoxicillin Cap,High,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Amoxicillin Tab,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Amoxicillin 250mg,High,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Amoxicillin Tab,Medium,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Amoxicillin SR,Medium,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin 500mg,High,Eco-bin drop-off,Yes,Harmful to aquatic life.
Amoxicillin Tab,High,Return to pharmacy,No,Can enter waterways through improper disposal.
Amoxicillin Oral,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Amoxicillin 250mg,Low,Safe landfill,Yes,Toxic if released into groundwater.
Amoxicillin Tab,Low,Safe landfill,No,Toxic if released into groundwater.
Amoxicillin Tablet,High,Return to pharmacy,Yes,Harmful to aquatic life.
Amoxicillin 100mg,High,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Amoxicillin 100mg,Medium,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Amoxicillin 500mg,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
Amoxicillin Cap,High,Eco-bin drop-off,No,Harmful to aquatic life.
Amoxicillin Cap,Low,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Amoxicillin Cap,Low,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Amoxicillin SR,Medium,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin Tablet,Medium,Return to pharmacy,No,Can enter waterways through improper disposal.
Amoxicillin SR,Medium,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Amoxicillin SR,Low,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Amoxicillin Cap,Low,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Amoxicillin Capsule,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Amoxicillin 250mg,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Amoxicillin SR,Medium,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Amoxicillin Tab,Low,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Amoxicillin Oral,High,Eco-bin drop-off,Yes,Harmful to aquatic life.
Amoxicillin XL,High,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Amoxicillin Tablet,Low,Safe landfill,No,Eco-hazardous if mixed with household waste.
Amoxicillin 500mg,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Amoxicillin 100mg,High,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin 500mg,Low,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Amoxicillin Oral,Medium,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Amoxicillin Cap,Low,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin SR,Low,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Amoxicillin XL,High,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Amoxicillin 250mg,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Amoxicillin SR,Low,Safe landfill,Yes,Toxic if released into groundwater.
Amoxicillin SR,Medium,Safe landfill,Yes,Harmful to aquatic life.
Amoxicillin 250mg,Medium,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Amoxicillin 500mg,High,Return to pharmacy,No,Disrupts soil microbes if composted.
Amoxicillin SR,Medium,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Amoxicillin Cap,Low,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Amoxicillin Capsule,Low,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Amoxicillin XL,Low,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin Oral,Medium,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Amoxicillin SR,Medium,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Amoxicillin Oral,High,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Amoxicillin 250mg,Low,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Amoxicillin 100mg,Medium,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin Tablet,High,Safe landfill,Yes,Toxic if released into groundwater.
Amoxicillin Tablet,Low,Safe landfill,Yes,Harmful to aquatic life.
Amoxicillin Tablet,Low,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Amoxicillin SR,Low,Safe landfill,Yes,Toxic if released into groundwater.
Amoxicillin XL,High,Return to pharmacy,No,Toxic if released into groundwater.
Amoxicillin Cap,High,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Amoxicillin Tab,Medium,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Amoxicillin Oral,Low,Safe landfill,No,Disrupts soil microbes if composted.
Amoxicillin 100mg,Medium,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Amoxicillin Cap,High,Safe landfill,Yes,Can enter waterways through improper disposal.
Amoxicillin XL,High,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Amoxicillin Tab,Medium,Do not flush. Incinerate,No,Harmful to aquatic life.
Amoxicillin 100mg,High,Return to pharmacy,No,Can enter waterways through improper disposal.
Amoxicillin Oral,High,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Amoxicillin Tab,Medium,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Amoxicillin XL,High,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Amoxicillin 100mg,Low,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Amoxicillin 250mg,High,Safe landfill,No,Toxic if released into groundwater.
Amoxicillin Capsule,High,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Amoxicillin Capsule,High,Safe landfill,No,Toxic if released into groundwater.
Amoxicillin Oral,High,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Amoxicillin Capsule,High,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Amoxicillin Oral,Low,Safe landfill,No,Disrupts soil microbes if composted.
Amoxicillin Oral,Low,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Amoxicillin SR,Medium,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Amoxicillin Cap,High,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin Oral,Medium,Safe landfill,No,Harmful to aquatic life.
Amoxicillin XL,Low,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin SR,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Amoxicillin 250mg,High,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Amoxicillin SR,High,Return to pharmacy,No,Toxic if released into groundwater.
Amoxicillin Oral,High,Return to pharmacy,No,Harmful to aquatic life.
Amoxicillin Oral,High,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Amoxicillin Cap,Medium,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Amoxicillin Cap,High,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin 500mg,Medium,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Amoxicillin 250mg,Low,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Amoxicillin 500mg,Low,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Amoxicillin Tab,Low,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Amoxicillin XL,Medium,Safe landfill,No,Eco-hazardous if mixed with household waste.
Amoxicillin Capsule,Medium,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Amoxicillin SR,Low,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Amoxicillin SR,Medium,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Amoxicillin Cap,Low,Safe landfill,No,Disrupts soil microbes if composted.
Amoxicillin 500mg,Medium,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Amoxicillin 500mg,Medium,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Amoxicillin Capsule,Medium,Safe landfill,Yes,Can enter waterways through improper disposal.
Amoxicillin Capsule,Low,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Amoxicillin Tab,Low,Eco-bin drop-off,Yes,Harmful to aquatic life.
Amoxicillin Tablet,High,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Amoxicillin Cap,Low,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Amoxicillin Capsule,High,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin Cap,High,Hazardous waste treatment,Yes,Harmful to aquatic life.
Amoxicillin Tablet,High,Return to pharmacy,Yes,Harmful to aquatic life.
Amoxicillin Tablet,Medium,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Amoxicillin 500mg,Low,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Amoxicillin Tablet,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Amoxicillin XL,Low,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Amoxicillin SR,Low,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Amoxicillin Tab,Medium,Hazardous waste treatment,No,Toxic if released into groundwater.
Amoxicillin Oral,High,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Amoxicillin Tablet,Low,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin 250mg,High,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Amoxicillin 100mg,Low,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin SR,High,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Amoxicillin Tablet,Medium,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Amoxicillin Capsule,Medium,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Amoxicillin 250mg,Medium,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Amoxicillin 100mg,High,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Amoxicillin 500mg,High,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Amoxicillin Capsule,Low,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Amoxicillin Cap,Low,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Amoxicillin Oral,Medium,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Amoxicillin 100mg,Low,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Amoxicillin Tablet,High,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Amoxicillin Cap,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
